성별,휴양,자연경관,문화유산,액티비티,쇼핑,공연,전시물,희망
남성,3,5,5,4,2,1,2,문화유산
남성,3,4,3,3,2,3,3,"휴양, 공연"
남성,4,2,1,5,5,4,3,"휴양, 자연경관"
남성,5,4,2,5,2,1,2,"휴양, 자연경관, 문화유산"
남성,2,5,4,4,1,2,3,자연경관
여성,4,4,3,2,4,4,4,"문화유산, 공연, 전시물"
남성,4,4,5,2,3,3,4,"휴양, 자연경관"
남성,4,1,1,1,5,1,2,"문화유산, 쇼핑"
여성,5,5,3,2,3,5,5,"휴양, 쇼핑"
남성,5,4,3,5,1,1,1,"자연경관, 액티비티"
여성,5,5,5,5,5,3,5,자연경관
남성,4,5,4,4,3,4,4,액티비티
남성,2,2,2,4,4,4,1,액티비티
